Date,County,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW
Jan 1975,De_Baca,Historic,Historic,Historic,58.80710156,1.573802133,5.694287535,1.675326795,5.83008606,8.33333e-05,0.049628849,0.014847035,0.266722819,0,-0.416666667,0,56.96657661,0.179426812,0.650441222,0,57.79644465,38.72387097,0,0,0
Feb 1975,De_Baca,Historic,Historic,Historic,101.859,1.126428384,5.382210748,1.646852287,5.080401691,8.33333e-05,0.049620317,0.014842782,0.2066073,0,-0.415417135,0,100.5259643,0.196885622,0.848471469,0,101.5713214,43.93821429,-0.184725661,5.21434332,-0.184725661
Mar 1975,De_Baca,Historic,Historic,Historic,61.10210156,0,5.333476595,1.124629803,2.897734492,8.33333e-05,0.049611785,0.014838529,0,0,0.301354858,0,61.10210156,1.009840776,1.585929791,0,63.69787213,48.20483871,-0.428313031,4.26662442,-0.24358737
Apr 1975,De_Baca,Historic,Historic,Historic,77.82620313,0.998328979,9.673955425,1.470310335,9.257094893,0.00248847,0.051404311,0.01543556,0.41512903,0,-0.410194418,0,76.41274512,0.357562064,2.174489153,0.226386895,79.17118323,49.55133333,-0.161731429,1.34649462,0.266581602
May 1975,De_Baca,Historic,Historic,Historic,59.55580078,0,14.64355035,0.87974903,6.344556191,16.0521254,3.153031403,1.050914132,1.749325331,0,11.3357858,0,57.80647545,12.13558473,7.119967416,1.749325331,78.81135293,56.66741935,-0.419152463,7.11608602,-0.257421034
Jun 1975,De_Baca,Historic,Historic,Historic,40.31539844,0,12.10335178,37.68419012,8.046752876,35.34477237,3.988297772,1.329766881,2.124140388,0,0.394509313,0,38.19125805,1.322671831,8.112188817,2.124140388,49.75025909,41.942,8.814516067,-14.72541935,9.23366853
Jul 1975,De_Baca,Historic,Historic,Historic,396.22,12.99362974,11.56322292,16.5902743,10.5748775,2.723577782,2.089033841,0.695695128,3.609462847,0,-0.401350602,0,379.6169074,0.516629244,3.523348106,1.814535481,385.4714202,9.190322581,6.55049449,-32.751677419,-2.264021577
Aug 1975,De_Baca,Historic,Historic,Historic,127.802,3.330582689,5.001453763,1.470310335,11.38918261,4.472692664,3.39882903,1.132969595,2.356141092,0,-0.412836108,0,122.1152762,0.358072282,5.517295614,1.854522974,129.8451671,14.9116129,6.55073254,5.721290319,0.000238050000000101
Sep 1975,De_Baca,Historic,Historic,Historic,308.872,0,10.94517425,2.017020896,6.572032681,2.208333972,1.703182623,0.566875669,1.365112145,0,1.92606578,0,307.5068879,2.638388864,3.067640073,1.365112145,314.5780289,18.57666667,4.373655116,3.66505377,-2.177077424
Oct 1975,De_Baca,Historic,Historic,Historic,0.184723007,0,4.970746449,1.296615833,4.471526005,0.904378285,0.7267225,0.240882494,0.537307628,0,-0.258553788,0,-0.352584621,0.365536684,1.648353317,0.522964836,2.184270216,21.00903226,5.163413942,2.43236559,0.789758826
Nov 1975,De_Baca,Historic,Historic,Historic,65.9015,2.180105146,5.525141413,1.379191908,6.571896232,8.33333e-05,0.049543529,0.014804503,0.346634451,0,-0.406719116,0,63.3747604,0.160960868,0.668605689,0,64.20432696,23.41366667,4.43336294,2.40463441,-0.730051002
Dec 1975,De_Baca,Historic,Historic,Historic,14.7547998,1.091630217,5.673176256,1.194107603,5.82555233,8.33333e-05,0.049534997,0.01480025,0.200700608,0,-0.406135514,0,13.46246898,0.151365387,0.604719873,0,14.21855424,29.3516129,4.338539249,5.93794623,-0.0948236910000002
Jan 1976,De_Baca,Historic,Historic,Historic,11.96959961,0,5.767217405,1.091599373,3.632201265,0.00075,0.050654938,0.014962663,0,0,0.251697747,0,11.96959961,0.792469021,0.635964451,0,13.39803308,34.60709677,4.098369595,5.25548387,-0.240169654
Feb 1976,De_Baca,Historic,Historic,Historic,22.35580078,0,5.67258064,1.436140925,0.020561671,11.55984791,0.050646406,0.01495841,0,0,7.590414563,0,22.35580078,8.185311393,0.975645359,0,31.51675753,37.63827586,4.314375068,3.03117909,0.216005473
Mar 1976,De_Baca,Historic,Historic,Historic,7.689979981,0.312447359,4.972665656,24.7225939,0.020561671,19.34154208,0.050637874,0.014954156,0.095118387,0,-0.397391352,0,7.282414234,0.280890877,1.078735568,0,8.642040679,25.15903226,11.86910163,-12.4792436,7.554726562
Apr 1976,De_Baca,Historic,Historic,Historic,75.12129688,0.956516061,4.452240658,2.637765179,4.452167602,1.592869643,0.825496998,0.412979814,1.113696581,0,-0.394711783,0,73.05108423,0.306405364,1.844879659,0.93263205,76.13500131,4.795,11.53114495,-20.36403226,-0.33795668
May 1976,De_Baca,Historic,Historic,Historic,210.573,4.446217911,6.39095972,2.558036556,11.74731528,3.448776267,1.728738434,0.876952217,2.292141596,0,-0.392748432,0,203.8346405,0.373350497,3.602594045,1.643720106,209.4543051,6.221935484,10.90498052,1.426935484,-0.626164429999999
Jun 1976,De_Baca,Historic,Historic,Historic,144.546,4.432272044,9.033388061,1.606987975,16.8354103,4.961738634,2.465072556,1.255188555,2.661650077,0,-0.394679722,0,137.4520779,0.379680182,5.523222337,2.01483854,145.3698189,11.76966667,10.30886736,5.547731186,-0.59611316
Jul 1976,De_Baca,Historic,Historic,Historic,380.717,0,22.49886511,8.281412745,5.293224763,12.1471748,1.59989214,0.810767394,1.822053903,0,10.1217704,0,378.8949461,10.949632,4.220335999,1.822053903,395.886968,19.33,9.351115172,7.56033333,-0.957752188000001
Aug 1976,De_Baca,Historic,Historic,Historic,162.178,13.16135511,14.53031713,25.99825187,7.532896748,5.853277295,2.257975686,1.148808392,3.635143818,0,-0.393125374,0,145.3815011,0.406926288,4.639958791,1.818843433,152.2472296,9.04483871,18.68376083,-10.28516129,9.332645658
Sep 1976,De_Baca,Historic,Historic,Historic,263.512,0.632605784,8.138973568,3.577423957,8.161193247,2.852609334,1.438556215,0.72789347,1.468785297,0,-0.404788988,0,261.4106089,0.290360471,2.917752034,1.329774397,265.9484958,7.193666667,18.99776854,-1.851172043,0.314007709999999
Oct 1976,De_Baca,Historic,Historic,Historic,69.73370313,1.987058271,4.947715964,2.313155783,4.849320038,0.00075,0.05057815,0.014924384,0.464537228,0,-0.40247519,0,67.28210763,0.175523603,0.370718428,0.144339745,67.9726894,10.29516129,18.02132771,3.101494623,-0.976440829999998
Nov 1976,De_Baca,Historic,Historic,Historic,41.276,3.468409917,5.174118431,1.988546388,6.93284193,0.00075,0.050569618,0.01492013,0.51859088,0,-0.40167128,0,37.2889992,0.123561311,0.415440342,0,37.82800085,14.80866667,17.90339624,4.51350538,-0.117931470000002
Dec 1976,De_Baca,Historic,Historic,Historic,0,2.145321124,5.176101611,1.390581711,6.208020682,0.00075,0.050561086,0.014915877,0.341410798,0,-0.402520649,0,-2.486731922,0.126090991,0.466464277,0,-1.894176653,21.36096774,17.98466635,6.55230107,0.0812701100000019
Jan 1977,De_Baca,Historic,Historic,Historic,41.08830078,1.416980788,5.268223553,1.255043051,5.723659749,0.00075,0.050459566,0.014911624,0.243729157,0,-0.401893517,0,39.42759084,0.109145057,0.468734189,0,40.00547008,27.13741935,17.88791129,5.77645161,-0.0967550599999996
