Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Feb 2018,State,NCAR,Low,High,7262.86,147.15,47.24,140.98,78.39,39.9,30.71,2.23,152.98,0,-44.23,0,6962.73,59.14,39.86,0,7061.72,2592.03,-36488.56,107.5,137.369999999995,Low
Mar 2018,State,NCAR,Low,High,10810.38,210.66,64.43,189.42,72.3,42.19,30.86,2.4,211.64,0,-45.92,0,10388.08,101.47,45.68,0.21,10535.44,2619.12,-36408.25,27.0900000000001,80.3099999999904,Low
Apr 2018,State,NCAR,Low,High,8755.01,186.86,115.67,174.51,149.73,65.31,88.57,19.68,196.92,0,-42.63,0,8371.24,86.23,110.82,26.72,8594.99,2632,-36271.19,12.8800000000001,137.060000000005,Low
May 2018,State,NCAR,Low,High,16560.57,315.18,245.63,192.46,358.18,65.55,133.55,32.13,284.19,0,-108.63,0,15961.18,184.34,171.29,120.01,16436.8,2674.47,-36212.49,42.4700000000003,58.7000000000044,Low
Jun 2018,State,NCAR,Low,High,9572.83,177.8,220.52,155.27,306.41,156.76,191.68,46.79,125.06,0,-62.46,0,9269.97,155.86,247.15,155.51,9828.47,2897.23,-36258.34,222.76,-45.8499999999985,Low
Jul 2018,State,NCAR,Low,High,11683.23,193.12,88.05,212.92,206.49,181.13,228.47,58.38,185.44,0,-52.44,0,11304.7,95.33,280.89,155.35,11836.25,2944.66,-36496.14,47.4299999999998,-237.80000000001,Low
Aug 2018,State,NCAR,Low,High,15293.85,253.02,65.47,173.47,221.11,110.62,164.32,40.96,268.1,0,-59.31,0,14772.74,93.88,201.48,129.88,15197.95,2859.18,-36688.58,-85.4799999999996,-192.439999999995,Low
Sep 2018,State,NCAR,Low,High,9113.79,95.76,53.97,132.58,154.89,155.13,144.04,33.38,110.54,0,-28.86,0,8907.47,46.27,182.99,106.98,9243.72,2891.53,-36733.03,32.3499999999995,-44.4499999999971,Low
Oct 2018,State,NCAR,Low,High,8355.33,105.21,40.79,123.06,100.05,75.64,134.45,31.46,123.31,0,-36.94,0,8126.79,35.47,138.41,48.96,8349.63,2818.98,-36868.97,-72.5499999999997,-135.940000000002,Low
Nov 2018,State,NCAR,Low,High,7981.26,154.58,42.28,110.51,117.57,36.26,32.64,2.62,166.96,0,-45.63,0,7659.73,50.67,41.15,1.07,7752.6,2807.94,-36934.53,-11.0400000000004,-65.5599999999977,Low
Dec 2018,State,NCAR,Low,High,612.01,12.39,40.8,89.88,41.32,79.33,30.84,1.94,14.66,0,-27.07,0,584.95,28.38,37.49,0,650.82,2878.15,-36844.29,70.2100000000005,90.2400000000052,Low
Jan 2019,State,NCAR,Low,High,6337.71,127,40.52,75.23,104.62,19.52,30.85,2.05,146.27,0,-41.86,0,6064.45,49.04,37.42,0,6150.92,2831.53,-36885.61,-46.6200000000003,-41.3199999999997,Low
Feb 2019,State,NCAR,Low,High,2930.5,43.89,43.68,94.78,46.53,58.47,30.86,2.12,50.35,0,-32.53,0,2836.22,37.3,41.38,0,2914.92,2907.98,-36809.97,76.4499999999998,75.6399999999921,Low
Mar 2019,State,NCAR,Low,High,6110.02,129.2,54.73,154.26,41.08,48.14,36.31,3.6,139.71,0,-42.02,0,5841.1,78.79,54.38,2.65,5976.94,2883.38,-36820.89,-24.5999999999995,-10.9200000000055,Low
Apr 2019,State,NCAR,Low,High,2604.27,86.56,123.71,107.82,156.39,94.41,176.11,44.37,63.01,0,-43.13,0,2454.7,83.62,179.07,36.06,2753.44,2854.65,-36758.58,-28.7300000000005,62.3100000000049,Low
May 2019,State,NCAR,Low,High,7089.58,235.14,375.55,162.28,447.02,76.25,191.88,47.81,134.59,0,-129.23,0,6719.85,206.87,210.84,97.4,7234.98,2869.29,-36906.51,14.6400000000003,-147.93,Low
Jun 2019,State,NCAR,Low,High,14156.36,265.39,361.32,169.53,491.94,106.33,151,35.12,176.48,0,-144.21,0,13714.48,215.77,215.81,152.23,14298.27,3173.25,-37142.6,303.96,-236.089999999997,Low
Jul 2019,State,NCAR,Low,High,20210.24,319.7,122.32,253.83,315.95,208.58,180.93,45.03,320.31,0,-77.92,0,19570.22,158.75,233.82,149.48,20112.26,3458.95,-37378.45,285.7,-235.850000000006,Low
Aug 2019,State,NCAR,Low,High,12192.45,217.11,93.21,212.29,243.76,188.39,209.37,53.35,221,0,-64.41,0,11754.32,107.11,247.96,129.92,12239.32,3468.4,-37421.43,9.45000000000027,-42.9799999999959,Low
Sep 2019,State,NCAR,Low,High,5533.56,94,105.11,163.64,173.91,172.26,204.73,50.79,92.82,0,-37.75,0,5346.72,71.61,233.91,107.67,5759.91,3431.84,-37550.78,-36.5599999999999,-129.350000000006,Low
Oct 2019,State,NCAR,Low,High,5185.52,104.4,76.03,117.19,121.17,84.27,150.68,35.19,101.77,0,-37.68,0,4979.34,64.03,149.19,41.08,5233.66,3353.5,-37757.32,-78.3400000000001,-206.539999999994,Low
Nov 2019,State,NCAR,Low,High,4978.51,110.44,59.39,80.63,113.92,40.1,34.02,3.06,112.36,0,-44.27,0,4755.71,59.66,44.55,1.3,4861.21,3356.64,-37849.78,3.14000000000033,-92.4599999999991,Low
Dec 2019,State,NCAR,Low,High,8608.51,172.02,56.14,168.25,127.4,84.2,31.02,1.96,161.04,0,-49.67,0,8275.44,66.37,39.07,0,8380.88,3416.85,-37813.91,60.21,35.8699999999953,Low
Jan 2020,State,NCAR,Low,High,8300.87,171.98,55.49,102.53,136.04,16.69,31.03,2.07,187.79,0,-51.63,0,7941.08,57.25,39.67,0,8038.02,3450.02,-37731.56,33.1699999999996,82.3499999999985,Low
Feb 2020,State,NCAR,Low,High,6325.47,114.1,59.93,124.43,83.79,42.59,31.04,2.07,122.54,0,-47.07,0,6088.81,55.48,44.09,0,6188.38,3558.6,-37624.35,108.58,107.210000000006,Low
Mar 2020,State,NCAR,Low,High,1398.15,80.93,106.22,153.41,34.3,62.85,34.94,2.65,36.96,0,-31.27,0,1280.26,93.58,56.17,1.91,1431.93,3584.64,-37577.8,26.0399999999995,46.5500000000029,Low
Apr 2020,State,NCAR,Low,High,4801.5,179.58,207.05,148.69,222.37,48.97,149.11,37.12,116.07,0,-81.54,0,4505.86,146.08,163.46,27.81,4843.19,3532.23,-37606.33,-52.4100000000003,-28.5300000000061,Low
May 2020,State,NCAR,Low,High,6843.47,287.41,555.52,187.36,713.79,84.2,177.68,43.78,104.48,0,-215,0,6451.6,240.97,221.35,110.77,7024.7,3654.14,-37711.58,121.91,-105.250000000007,Low
Jun 2020,State,NCAR,Low,High,4588.44,195.71,516.33,285.76,482.78,150.41,255,65.39,73.52,0,-129.14,0,4319.22,223.06,313.02,155.61,5010.92,4196.27,-38066.76,542.130000000001,-355.179999999993,Low
Jul 2020,State,NCAR,Low,High,16761.45,305.38,179.82,248.13,346.4,185.24,200.87,51.24,277.8,0,-93.08,0,16178.3,168.98,262.29,152.13,16761.69,4405.2,-38467.59,208.929999999999,-400.830000000002,Low
Aug 2020,State,NCAR,Low,High,17608.48,296.5,90.36,229.09,341.13,279.22,168.32,41.78,286.34,0,-62.62,0,17025.64,158.48,218.63,129.79,17532.54,4453.69,-38584.58,48.4899999999998,-116.989999999998,Low
