Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Jan 2016,State,GFDL,High,High,2769.15,52.97,44.56,166.79,52.08,124.32,30.9,2.05,55.89,0,-34.43,0,2660.3,37.41,39.55,0,2737.24,2681.09,-35034.92,0,0,Low
Feb 2016,State,GFDL,High,High,756.12,31.46,50.03,83.19,43.55,66.11,31.38,2.41,24.76,0,-25.55,0,699.89,46.43,42.05,0.24,788.61,2598.19,-35042.31,-82.9000000000005,-7.38999999999942,Low
Mar 2016,State,GFDL,High,High,4055.35,132.11,64.11,135.66,69.74,77.99,61.65,10.02,105.11,0,-31.27,0,3818.14,100.08,75.7,8.04,4001.93,2562.52,-35072.3,-35.6699999999996,-29.9900000000052,Low
Apr 2016,State,GFDL,High,High,572.74,104.04,113.95,129.31,146.23,122.52,193.03,48.73,16.62,0,-27.68,0,452.07,92.69,195.2,50.41,790.36,2530.15,-35058.08,-32.3700000000003,14.2200000000012,Low
May 2016,State,GFDL,High,High,1950.14,245.95,449.13,361.4,325.98,127.25,228.32,57.59,34.61,0,-30.46,0,1669.58,165.4,241.32,108,2184.31,2502.95,-35263.88,-27.1999999999998,-205.799999999996,Low
Jun 2016,State,GFDL,High,High,882.35,86.16,324.46,266.07,307.24,252.49,286.26,73.38,14.6,0,-17.07,0,781.58,106.85,315.17,158.59,1362.22,2631.09,-35538.46,128.14,-274.580000000002,Low
Jul 2016,State,GFDL,High,High,18779.75,298.77,99.72,273.19,205.84,142.87,169.82,41.41,284.75,0,-40.61,0,18196.21,102.93,214.89,149.21,18663.26,2583.55,-35912.4,-47.54,-373.940000000002,Low
Aug 2016,State,GFDL,High,High,16974.57,294.51,68.03,243.01,210.29,145.63,179.84,44.75,300.02,0,-45.31,0,16380.04,100.18,206.29,128.93,16815.44,2560.03,-35945.87,-23.5200000000004,-33.4699999999939,Low
Sep 2016,State,GFDL,High,High,14425.65,245.69,68.81,244.48,163.98,125.16,179.06,43.53,238.21,0,-39.25,0,13941.77,70.41,193.6,103.54,14309.33,2553.51,-35955.21,-6.51999999999953,-9.34000000000378,Low
Oct 2016,State,GFDL,High,High,4984.19,97.06,59.64,131.76,92.69,95.89,145.75,34.57,84.35,0,-28.36,0,4802.8,56.51,141.74,37.99,5039.01,2534.28,-35995.32,-19.2300000000005,-40.1100000000079,Low
Nov 2016,State,GFDL,High,High,10832.19,221.01,57.71,137.39,150.76,37.07,31.86,2.21,218.41,0,-49.08,0,10392.76,76.76,38.24,0.64,10508.39,2500.5,-36088.48,-33.7799999999997,-93.1599999999962,Low
Dec 2016,State,GFDL,High,High,1555.21,47.34,54.25,107.66,60.38,87.23,31.13,1.92,33.31,0,-28.25,0,1474.56,49.06,35.68,0,1559.29,2605.58,-35949.46,105.08,139.020000000004,Low
Jan 2017,State,GFDL,High,High,7862.77,160.4,51.67,99.66,118.48,19.33,31.15,2.04,166.15,0,-45.45,0,7536.21,58.73,36.58,0,7631.52,2572.24,-35973.6,-33.3400000000001,-24.1400000000067,Low
Feb 2017,State,GFDL,High,High,4988.97,110.81,65.12,119.74,77.54,43.7,31.17,2.06,101.98,0,-37.61,0,4776.17,59.94,38.53,0,4874.67,2663.9,-35881.99,91.6599999999999,91.6100000000079,Low
Mar 2017,State,GFDL,High,High,9747.27,238.82,106.12,213.35,105.99,44.14,32.2,2.67,184.82,0,-50.38,0,9323.63,120.12,48.66,0.87,9493.28,2688.27,-35846.7,24.3700000000003,35.2900000000009,Low
Apr 2017,State,GFDL,High,High,4205.21,246.52,201.78,199.35,200.81,46.77,125.36,30.3,93.74,0,-53.84,0,3864.96,148.75,136.47,26.73,4176.89,2730.97,-35742.63,42.7000000000003,104.07,Low
May 2017,State,GFDL,High,High,8236.65,387.4,445.65,328.64,466.64,76.34,148.32,34.95,124.27,0,-78.54,0,7724.98,192.66,180.15,99.65,8197.46,2843.61,-35824.53,112.639999999999,-81.9000000000015,Low
Jun 2017,State,GFDL,High,High,5623.03,176.85,469.8,333.14,361,167.85,220.74,55.27,69.85,0,-70.04,0,5376.33,190.38,269.31,147.56,5983.61,3167.14,-35991.82,323.53,-167.290000000001,Low
Jul 2017,State,GFDL,High,High,19192.01,308.52,137.52,255.77,247.35,117.39,160.39,38.78,287.55,0,-72.81,0,18595.94,133.14,214.25,145.71,19089.02,3256.44,-36305.06,89.3000000000002,-313.239999999998,Low
Aug 2017,State,GFDL,High,High,16594.41,296.34,75.1,219.02,252.27,174.21,175.97,43.17,286.04,0,-57.99,0,16012.03,132.36,215.18,132.18,16491.75,3293.79,-36357.65,37.3499999999999,-52.5900000000038,Low
Sep 2017,State,GFDL,High,High,12198.38,197.98,56.72,178.13,173.81,140.26,154.95,36.69,187.4,0,-45.45,0,11813.01,88.44,184.3,100.44,12186.17,3289.46,-36394.61,-4.32999999999993,-36.9599999999991,Low
Oct 2017,State,GFDL,High,High,13317.8,231.85,54.78,145.82,166.14,58.73,49.34,7.76,219.65,0,-52.6,0,12866.32,86.01,64.83,15.96,13033.09,3257.01,-36471.32,-32.4499999999998,-76.7099999999991,Low
Nov 2017,State,GFDL,High,High,3476.25,94.76,67.63,82.14,108.15,45.25,31.35,1.97,90.21,0,-49.04,0,3291.3,66.38,40.62,0,3398.3,3341.18,-36361.82,84.1700000000001,109.500000000007,Low
Dec 2017,State,GFDL,High,High,4953.26,73.26,52.92,113.65,82.3,85.1,31.38,1.95,67.21,0,-36.95,0,4812.82,52.24,37.06,0,4902.12,3392.83,-36350.03,51.6499999999996,11.7899999999863,Low
Jan 2018,State,GFDL,High,High,5130.34,82.78,51,71.7,84.99,18.93,31.39,2.07,93.85,0,-46.35,0,4953.7,42.38,39.63,0,5035.7,3382.37,-36349.16,-10.46,0.870000000009895,Low
Feb 2018,State,GFDL,High,High,4248.92,67.64,55.88,104.43,58.61,44.8,31.41,2.24,73.01,0,-42.62,0,4108.26,47.86,41.41,0,4197.54,3438.1,-36330.96,55.7299999999996,18.1999999999898,Low
Mar 2018,State,GFDL,High,High,7388.9,172.02,75.75,177.29,69.05,51.31,32.31,2.68,154.51,0,-52.2,0,7062.37,104.93,51.69,0.78,7219.76,3439.66,-36329.7,1.5600000000004,1.26000000000204,Low
Apr 2018,State,GFDL,High,High,3446.87,93.38,158.51,141.86,140.43,70.23,122.12,28.97,70.14,0,-50.69,0,3283.35,90.51,143.27,26.52,3543.68,3435.35,-36257.81,-4.30999999999949,71.8900000000067,Low
May 2018,State,GFDL,High,High,6703.07,178.31,341.26,172.28,344.15,86.43,178.31,43.35,96.34,0,-88.69,0,6428.41,178.27,215.05,104.91,6926.65,3455.43,-36358.02,20.0799999999999,-100.209999999999,Low
Jun 2018,State,GFDL,High,High,6527.08,137.64,216.89,138.16,297.71,144.38,212.88,53.2,85.29,0,-71.87,0,6304.13,134.92,265.41,147.41,6851.84,3633.05,-36590.25,177.62,-232.23000000001,Low
Jul 2018,State,GFDL,High,High,13313.72,219.78,80.23,204.65,199.02,138.06,226.02,57.59,228.91,0,-56.39,0,12865.02,90.79,278.25,151.05,13385.1,3680.69,-36883.93,47.6400000000003,-293.679999999993,Low
Aug 2018,State,GFDL,High,High,9593.45,124.11,58.38,158.07,189.7,189.8,200.83,50.03,143.61,0,-38.02,0,9325.73,62.53,249.66,132.98,9770.89,3631.83,-37030.87,-48.8600000000006,-146.940000000002,Low
Sep 2018,State,GFDL,High,High,18218.84,233.56,41.73,188.28,196.71,127.3,100.91,21.48,251.01,0,-47.27,0,17734.26,64.87,142.47,102.3,18043.91,3532.89,-37209.07,-98.9400000000005,-178.19999999999,Low
Oct 2018,State,GFDL,High,High,10831.62,161.59,45.06,135.07,124.91,74.29,92.3,19.43,162.85,0,-39.23,0,10507.19,60.19,108.13,40.4,10715.91,3539.26,-37187.05,6.3700000000008,22.0199999999895,Low
Nov 2018,State,GFDL,High,High,4305.01,85.13,50.53,87.4,87.94,48.48,31.92,2.09,89.5,0,-41.92,0,4130.38,50.7,42.41,0.21,4223.72,3554.6,-37176.69,15.3400000000001,10.3600000000006,Low
